"local_path","size_bytes","image_url"
"石头科技/22.jpg","496888","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0167-e2d3550bcec8.jpg"
"石头科技/24.jpg","719307","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0168-d3c74d516965.jpg"
"石头科技/25.jpg","456528","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0169-e3faee897f1c.jpg"
"石头科技/26.jpg","505704","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0170-afa12b631a16.jpg"
"石头科技/27.jpg","708042","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0171-7d3790f99bb7.jpg"
"石头科技/28.jpg","677817","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0172-99ba7ea94a8a.jpg"
"石头科技/29.jpg","929746","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0173-d6d690afcbfd.jpg"
"石头科技/30.jpg","580581","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0174-342c604badc4.jpg"
"石头科技/32.jpg","496407","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0175-32dd53f1456e.jpg"
"石头科技/33.jpg","851529","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0176-06ac54ed13b4.jpg"
"石头科技/34.jpg","935273","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0177-badd1370d7a1.jpg"
"石头科技/35.jpg","893509","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0178-9ae53684dc50.jpg"
"石头科技/36.jpg","779786","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0179-6496cb89ae04.jpg"
"石头科技/37.jpg","891342","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0180-cc36ad2d1d77.jpg"
"石头科技/38.jpg","919740","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0181-b0b001a22ac0.jpg"
"石头科技/39.jpg","680446","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0182-57b296d1531e.jpg"
"石头科技/40.jpg","1175703","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0183-2668b40b6804.jpg"
"石头科技/41.jpg","580736","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0184-9419e5b30293.jpg"
